date,CO,HCHO,NO2,O3,SO2,CH4
2025-08-24,0.0339189264923334,0.00022874586291436573,4.334911524589794e-05,0.1159498307783648,0.00031575942693962133,1883.025390625
2025-08-25,0.0330519083194261,0.00023148308884045484,4.767681009480821e-05,0.11638903589743485,0.0003991077466218725,1883.025390625
2025-08-26,0.033794338240959565,0.00021758398301633566,5.2684822988917824e-05,0.11623406574223773,0.0002912438650562751,1883.025390625
2025-08-27,0.034087614646075175,0.00021175718035984351,5.0737153325188075e-05,0.11615583283018388,0.0002833705675943024,1883.025390625
2025-08-28,0.03292220899369046,0.00021021335825016592,4.793841013393304e-05,0.11610585676049283,0.0002351993366824321,1883.025390625
2025-08-29,0.03156088922232713,0.00018816164720661898,4.3232593533544045e-05,0.11564645665527885,0.0002329888705143703,1866.4813720703125
2025-08-30,0.030828997771813686,0.00017885428610716548,4.261764555061713e-05,0.11567322909831997,0.00021297580095693255,1873.3362232349536
2025-08-31,0.0300693693863042,0.0001719848358451005,4.0056559395561906e-05,0.11580113451576453,0.00019185831140732575,1873.3362232349536
2025-09-01,0.02971112882151232,0.00016352895356783296,3.820216901343393e-05,0.11576428111306772,0.00018855639084921014,1873.3362232349536
2025-09-02,0.02917875270842138,0.00015134241653798195,3.583694085793538e-05,0.11562916069941695,0.00016834194488473292,1873.5466600206162
2025-09-03,0.028600643750685127,0.00014280205884602357,3.475682847398419e-05,0.11545516839362739,0.00016122101840212717,1876.7070306631765
2025-09-04,0.028433773506700524,0.00014210396456825026,3.388645631602769e-05,0.11534056427109535,0.00015683674259995764,1874.1207914760414
2025-09-05,0.028956532441756607,0.00014558401696500344,3.3988479500305056e-05,0.11523118414017211,0.00016274199564324108,1874.1207914760414
2025-09-06,0.029055070613607348,0.00014287245044828414,3.348447099348586e-05,0.11505727227927856,0.00015943412199598443,1874.1207914760414
2025-09-07,0.029556396937761877,0.00014677534253398195,3.536006848672953e-05,0.11494732013663402,0.00015532191857831501,1874.1207914760414
2025-09-08,0.03011093925348872,0.00015137354852724262,3.69689559315707e-05,0.11481997454187495,0.0001584495454085309,1874.1207914760416
2025-09-09,0.030094872981107558,0.0001512713243798584,3.747263499292635e-05,0.11482059302327369,0.00015242031983417155,1874.1207914760414
2025-09-10,0.02988866728949395,0.00015187153500598953,3.7455614428744414e-05,0.11489138140712142,0.00015181934300677975,1874.1207914760414
2025-09-11,0.02969304383984102,0.0001497438864744359,3.7061022307184925e-05,0.11495587365126536,0.00014771380835387017,1874.1207914760414
2025-09-12,0.029699174560511014,0.0001504555638979725,3.698616973054057e-05,0.11494534077509391,0.00014519940466576662,1874.1207914760414
2025-09-13,0.029701383647567175,0.00015212489715415423,3.697467454010997e-05,0.11499993931518837,0.00014618712397139065,1875.2238109315524
2025-09-14,0.029684981997871895,0.0001540207160394466,3.691788117418418e-05,0.11506097466009146,0.00014625133336087124,1875.2238109315526
2025-09-15,0.029745946913441963,0.0001548933924941567,3.726190110224579e-05,0.11508819018356908,0.00014279768762439854,1875.2238109315526
2025-09-16,0.02968216941207902,0.000161625040191911,3.7940960139139614e-05,0.1151259130030964,0.00013570382752138964,1875.2238109315526
2025-09-17,0.029914744214821036,0.0001619141015548374,3.892013175500327e-05,0.1151445081380178,0.00013712330150799146,1875.2238109315524
2025-09-18,0.02986414326856441,0.00016051717204119736,3.8513337902895994e-05,0.11508801727621921,0.00013390394135918886,1875.2238109315526
2025-09-19,0.029688318034657938,0.0001590131735324742,3.8072503393573866e-05,0.11501531868360823,0.00013042847233872695,1877.5407669517188
2025-09-20,0.029532232401888237,0.0001590131735324742,3.764358551465967e-05,0.11501531868360823,0.00013042847233872692,1879.7569539787848
2025-09-21,0.029548957132491952,0.0001586842809925014,3.7474125692624915e-05,0.11497449149902292,0.00012403026263167418,1867.889194371922
2025-09-22,0.029505517575117404,0.00015747903259453542,3.733140011234431e-05,0.11494134812965431,0.00013219892396067396,1867.889194371922
2025-09-23,0.02967886158870901,0.0001574782626589021,3.858234646849684e-05,0.11486960599464333,0.00012485714469764403,1862.1558191277813
2025-09-24,0.029909987353739096,0.0001581463513979725,3.918763105161767e-05,0.1147480460347955,0.00011271249243552282,1853.6141157997588
2025-09-25,0.029641708496046016,0.000157742367697126,3.8039972302917134e-05,0.11465256425104278,0.00010959600662041553,1854.244701736141
2025-09-26,0.02949120730039991,0.00015616919563382685,3.7570457969415504e-05,0.11458119771351806,0.00010019047676891198,1856.3459434811598
